director,index
Tate Taylor,479
Taylor Hackford,480
Taylor Sheridan,481
Ted Demme,482
Ted Kotcheff,483
Terence Young,484
Terrence Malick,485
Terry George,486
Terry Gilliam,487
Terry Jones,488
Tetsuya Nakashima,489
Theodore Melfi,490
Thomas Jahn,491
Thomas Kail,492
Thomas Vinterberg,493
Tigmanshu Dhulia,494
Tim Burton,495
Tim Miller,496
Tod Browning,497
Todd Haynes,498
Todd Phillips,499
Todd Solondz,500
Tom Hooper,501
Tom McCarthy,502
Tom Tykwer,503
Tomas Alfredson,504
Tomm Moore,505
Tony Bancroft,506
Tony Kaye,507
Tony Scott,508
Travis Knight,509
Trey Parker,510
Troy Duffy,511
Tyler Nilson,512
Umesh Shukla,513
Victor Fleming,514
Vikas Bahl,515
Vikramaditya Motwane,516
Vincent Paronnaud,517
Vishal Bhardwaj,518
Vittorio De Sica,519
W.S. Van Dyke,520
Walter Hill,521
Walter Salles,522
Werner Herzog,523
Wes Anderson,524
William Friedkin,525
William Wyler,526
Wilson Yip,527
Wim Wenders,528
Wolfgang Becker,529
Wolfgang Petersen,530
Wolfgang Reitherman,531
Woody Allen,532
Xavier Dolan,533
Yann Samuell,534
Yash Chopra,535
Yasujirô Ozu,536
Yavuz Turgul,537
Yilmaz Erdogan,538
Yimou Zhang,539
Yoshiaki Kawajiri,540
Yoshifumi Kondô,541
Yôjirô Takita,542
Zack Snyder,543
Zaza Urushadze,544
Zoya Akhtar,545
Çagan Irmak,546
Ömer Faruk Sorak,547
